category,amount,gender,state,city_population,is_fraud,age,hour
4.0,281.06,1.0,27.0,885,1,35,1.0
2.0,11.52,0.0,43.0,1595797,1,63,1.0
4.0,276.31,0.0,43.0,1595797,1,63,3.0
2.0,7.03,1.0,27.0,885,1,35,3.0
4.0,275.73,0.0,43.0,1595797,1,63,3.0
11.0,844.8,1.0,27.0,885,1,35,13.0
8.0,843.91,1.0,27.0,885,1,35,23.0
2.0,10.76,0.0,43.0,1595797,1,63,1.0
4.0,332.35,0.0,43.0,1595797,1,63,1.0
4.0,315.34,0.0,43.0,1595797,1,63,3.0
4.0,337.05,0.0,38.0,1472,1,83,16.0
12.0,711.66,0.0,38.0,1472,1,83,18.0
8.0,707.5,0.0,38.0,1472,1,83,22.0
11.0,942.62,1.0,27.0,885,1,35,22.0
13.0,4.5,0.0,38.0,1472,1,83,22.0
12.0,821.96,1.0,27.0,885,1,35,23.0
11.0,1092.68,1.0,27.0,885,1,35,23.0
11.0,1254.27,1.0,27.0,885,1,35,23.0
4.0,274.09,0.0,43.0,1595797,1,63,23.0
3.0,14.37,1.0,0.0,145,1,84,0.0
4.0,316.93,0.0,38.0,1472,1,83,2.0
4.0,327.68,0.0,38.0,1472,1,83,2.0
11.0,966.11,1.0,0.0,145,1,84,15.0
8.0,795.22,0.0,38.0,1472,1,83,15.0
12.0,1015.8,0.0,38.0,1472,1,83,15.0
8.0,722.18,0.0,38.0,1472,1,83,22.0
11.0,898.81,0.0,38.0,1472,1,83,22.0
11.0,1001.63,0.0,38.0,1472,1,83,22.0
9.0,49.61,1.0,0.0,145,1,84,22.0
4.0,295.26,1.0,0.0,145,1,84,23.0
11.0,1099.99,0.0,38.0,1472,1,83,23.0
5.0,18.17,1.0,0.0,145,1,84,23.0
2.0,20.45,1.0,0.0,145,1,84,3.0
2.0,18.19,1.0,0.0,145,1,84,3.0
4.0,367.29,0.0,24.0,602,1,70,11.0
8.0,768.15,1.0,0.0,145,1,84,18.0
8.0,849.49,1.0,0.0,145,1,84,22.0
